Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
16.0,73,2.772588722239781,25.0,1,1001.1,3,2,8.0,1,1
25.0,24,2.1400661634962708,6.0,0,1021.55,10,1,6.5,2,0
-3.0,81,2.833213344056216,88.0,3,995.02,1,3,3.0,2,3
17.0,63,1.7047480922384253,35.0,3,1014.36,3,1,7.5,2,1
-10.0,72,0.6931471805599453,94.0,3,995.23,0,3,2.0,1,3
21.0,67,1.9459101490553132,40.0,1,1014.39,3,2,6.5,0,1
33.0,96,2.5649493574615367,104.0,3,999.8,13,2,1.5,2,2
35.0,62,2.302585092994046,11.0,0,1027.05,10,2,8.0,2,0
-6.0,85,1.7047480922384253,92.0,3,993.68,1,3,3.5,1,3
33.0,67,1.252762968495368,13.0,0,1024.45,10,2,5.5,1,0
25.0,62,2.5649493574615367,46.0,3,1001.77,4,3,7.0,2,1
-4.0,103,1.791759469228055,91.0,3,986.06,12,3,0.5,1,3
32.0,66,2.70805020110221,90.0,3,990.8,1,2,1.5,0,2
17.0,98,2.9444389791664403,90.0,1,1007.51,7,0,5.5,0,1
38.0,32,1.0986122886681098,18.0,1,1014.43,11,1,5.5,1,0
-1.0,63,2.3978952727983707,90.0,3,990.95,1,3,4.5,2,3
31.0,78,2.1972245773362196,37.0,3,1006.95,3,0,9.0,2,1
15.0,62,2.740840023925201,81.0,1,1006.97,3,3,4.0,1,2
25.0,78,2.3513752571634776,12.0,1,1002.12,3,1,5.5,1,1
41.0,73,2.0149030205422647,96.0,1,1015.62,10,2,4.0,0,0
-7.0,69,2.9444389791664403,53.0,3,992.92,1,3,3.5,1,3
42.0,21,0.6931471805599453,4.0,0,1028.97,11,3,5.5,0,0
16.0,57,1.7047480922384253,46.0,3,1009.77,4,0,5.0,1,1
33.0,56,2.0149030205422647,1.0,0,1029.19,9,0,9.0,2,0
27.0,100,2.9444389791664403,76.0,1,1008.25,5,2,10.5,0,1
12.0,96,1.8718021769015913,84.0,3,1010.32,3,2,4.5,0,2
11.0,73,1.8718021769015913,65.0,3,1015.14,2,3,1.0,0,2
23.0,62,2.1972245773362196,91.0,3,1004.57,2,1,5.0,2,2
57.0,81,3.349904087274605,82.0,3,1011.1,10,3,2.5,0,2
65.0,83,2.8622008809294686,86.0,1,1012.01,5,0,9.0,2,1
38.0,37,1.791759469228055,2.0,1,1026.16,8,1,7.0,1,0
29.0,66,0.6931471805599453,12.0,3,1005.8,3,2,5.5,1,1
44.0,67,0.9162907318741551,8.0,1,1021.24,9,2,9.0,0,0
20.0,61,1.252762968495368,2.0,1,1029.84,6,3,5.0,0,0
-5.0,69,2.302585092994046,52.0,3,984.19,1,3,2.0,2,3
24.0,51,0.6931471805599453,11.0,0,1016.66,11,0,6.0,1,0
11.0,99,2.917770732084279,56.0,3,994.66,0,1,4.5,1,2
12.0,53,2.0794415416798357,22.0,1,1012.93,3,0,5.5,2,1
41.0,20,2.0149030205422647,3.0,1,1024.98,10,0,10.0,1,0
-3.0,97,1.7047480922384253,77.0,3,985.01,1,3,4.5,1,3
15.0,72,3.597312260588446,99.0,3,1012.96,1,2,5.0,1,2
1.0,73,2.0794415416798357,98.0,3,989.18,0,3,2.5,2,3
21.0,32,1.252762968495368,3.0,0,1026.93,6,0,5.5,2,0
28.0,26,2.1972245773362196,15.0,1,1025.25,11,1,6.5,0,0
34.0,74,1.0986122886681098,24.0,1,1005.49,2,3,5.5,0,1
23.0,54,1.791759469228055,19.0,0,1023.24,10,2,6.5,2,0
26.0,77,2.5257286443082556,45.0,3,1019.53,1,3,7.5,2,1
20.0,67,2.6390573296152584,47.0,1,1013.74,3,0,8.0,1,1
27.0,54,0.6931471805599453,13.0,1,1009.82,2,1,5.5,0,1
4.0,65,2.8622008809294686,91.0,3,982.75,0,3,3.0,1,3
-6.0,97,1.8718021769015913,61.0,3,996.98,0,3,3.0,2,3
-7.0,70,1.791759469228055,82.0,1,999.14,1,3,2.0,2,3
25.0,47,1.791759469228055,10.0,0,1026.95,6,3,10.0,0,0
14.0,90,1.8718021769015913,73.0,3,1018.61,3,3,5.0,0,2
25.0,76,1.252762968495368,44.0,3,1019.94,3,0,5.5,0,1
21.0,79,2.5257286443082556,13.0,1,1009.44,3,3,6.5,1,1
24.0,67,2.3513752571634776,14.0,0,1013.7,9,1,7.0,0,0
13.0,67,2.0794415416798357,21.0,3,1018.83,1,3,8.5,0,1
57.0,109,2.6741486494265287,109.0,3,999.4,4,1,4.0,1,2
60.0,80,3.4339872044851463,96.0,1,1012.37,0,0,1.0,2,1
33.0,36,1.791759469228055,9.0,1,1019.54,9,0,5.5,1,0
-3.0,98,2.0149030205422647,85.0,3,983.69,1,3,5.0,1,3
17.0,68,2.8903717578961645,58.0,1,994.11,0,3,4.0,0,2
10.0,57,2.6390573296152584,34.0,1,1012.71,2,0,5.0,0,1
40.0,33,2.3978952727983707,0.0,1,1012.92,9,0,9.0,0,0
-4.0,60,2.70805020110221,87.0,3,996.73,1,3,2.5,2,3
24.0,49,1.0986122886681098,2.0,0,1014.9,8,0,8.0,1,0
14.0,94,2.4849066497880004,63.0,3,1000.9,2,3,4.0,1,2
37.0,86,2.302585092994046,93.0,0,1017.87,6,1,6.0,2,0
22.0,86,2.8903717578961645,65.0,3,1018.21,0,3,1.0,0,2
13.0,61,1.0986122886681098,21.0,1,1010.91,4,0,6.5,1,1
28.0,85,2.803360380906535,93.0,1,1013.07,12,2,10.0,1,1
30.0,48,0.9162907318741551,16.0,1,1023.73,11,2,5.5,1,0
42.0,21,2.0794415416798357,14.0,0,1015.04,9,1,6.0,1,0
3.0,60,2.9444389791664403,61.0,1,990.68,1,3,2.5,1,3
23.0,96,2.5649493574615367,75.0,3,998.31,2,3,2.0,1,2
4.0,89,2.4423470353692043,89.0,3,981.38,6,3,0.5,1,3
12.0,63,2.70805020110221,47.0,1,1017.14,2,0,7.5,0,1
30.0,68,2.0794415416798357,15.0,3,1016.01,3,2,8.0,0,1
23.0,31,2.1400661634962708,0.0,0,1015.02,10,0,7.0,0,0
14.0,72,2.3978952727983707,19.0,1,1001.46,4,2,8.0,1,1
32.0,41,1.5040773967762742,9.0,0,1016.91,8,2,9.0,0,0
34.0,53,1.252762968495368,19.0,0,1027.71,10,3,8.5,2,0
-10.0,72,2.0149030205422647,98.0,3,988.11,0,3,4.0,1,3
16.0,71,2.995732273553991,70.0,3,1008.4,2,1,2.5,2,2
-5.0,88,3.0204248861443626,71.0,3,997.25,0,3,3.5,2,3
13.0,77,2.70805020110221,48.0,1,1017.33,2,3,6.0,1,1
32.0,51,2.6026896854443837,41.0,1,1017.59,3,2,8.5,2,1
15.0,60,2.4423470353692043,16.0,1,1009.03,2,3,6.0,2,1
26.0,77,2.803360380906535,69.0,1,1003.71,3,0,2.5,0,2
15.0,99,2.4849066497880004,55.0,3,990.28,2,1,1.5,2,2
-10.0,74,2.6741486494265287,83.0,1,998.28,0,3,2.5,2,3
31.0,90,1.791759469228055,57.0,1,996.58,3,0,5.0,1,2
0.0,92,2.0794415416798357,92.0,3,994.14,0,3,1.0,1,3
0.0,80,2.9444389791664403,90.0,3,994.11,0,3,3.5,2,3
28.0,54,1.3862943611198906,18.0,1,1014.78,8,1,9.0,2,0
16.0,64,1.0986122886681098,48.0,3,1000.6,1,0,6.5,0,1
21.0,78,0.6931471805599453,20.0,1,1017.16,2,0,6.0,1,1
18.0,63,1.791759469228055,24.0,1,1005.59,4,3,8.0,1,1
30.0,76,2.5257286443082556,45.0,1,1019.22,2,2,6.5,1,1
20.0,78,2.6390573296152584,71.0,3,994.21,0,3,4.0,2,2
10.0,71,2.4423470353692043,33.0,3,1017.97,1,1,6.0,0,1
10.0,71,2.6741486494265287,72.0,1,991.05,2,1,4.0,0,2
-2.0,95,2.970414465569701,50.0,3,994.53,0,3,4.0,1,3
11.0,54,0.6931471805599453,25.0,1,1003.95,1,2,8.0,0,1
16.0,97,2.5649493574615367,89.0,1,1002.71,2,2,3.0,1,2
15.0,67,1.252762968495368,48.0,3,1006.11,4,2,8.0,0,1
23.0,56,2.6390573296152584,16.0,1,1015.31,3,1,7.0,0,1
17.0,25,1.6094379124341003,12.0,2,975.85,5,2,12.5,2,0
38.0,35,1.3862943611198906,9.0,0,1022.33,8,1,6.5,2,0
-4.0,91,2.4423470353692043,57.0,3,988.43,0,3,2.0,1,3
23.0,47,2.0794415416798357,14.0,1,1026.61,6,0,9.5,0,0
27.0,79,1.5040773967762742,18.0,1,1003.54,1,3,6.5,1,1
38.0,56,0.6931471805599453,13.0,0,1017.0,9,2,7.0,0,0
-8.0,93,2.0794415416798357,89.0,3,985.65,1,3,2.5,2,3
-4.0,70,2.8903717578961645,52.0,1,980.7,0,3,4.0,2,3
-3.0,85,2.995732273553991,88.0,1,999.98,0,3,4.5,1,3
23.0,78,2.0149030205422647,53.0,1,996.5,3,1,1.0,1,2
-8.0,97,2.8903717578961645,92.0,3,982.59,1,3,4.0,2,3
26.0,60,2.2512917986064953,25.0,3,1019.64,2,2,6.0,2,1
42.0,20,1.7047480922384253,9.0,1,1028.46,8,3,5.0,1,0
28.0,70,2.4849066497880004,86.0,3,1014.57,0,0,3.0,0,2
13.0,64,2.3978952727983707,19.0,1,1004.04,3,0,6.0,1,1
55.0,89,2.8622008809294686,93.0,1,1006.96,12,1,8.5,2,1
41.0,39,1.3862943611198906,0.0,0,1013.5,6,3,6.0,2,0
12.0,74,2.0149030205422647,76.0,3,1009.38,3,3,5.0,2,2
-5.0,106,3.5115454388310208,102.0,3,987.89,2,3,0.5,1,3
-5.0,83,2.995732273553991,89.0,1,994.15,1,3,3.0,2,3
24.0,75,1.6094379124341003,13.0,1,1017.97,3,2,8.5,2,1
20.0,61,2.4423470353692043,30.0,1,1010.65,3,1,6.0,1,1
30.0,89,2.995732273553991,86.0,3,1010.22,0,0,2.5,2,2
11.0,53,2.0149030205422647,26.0,1,1018.19,4,1,7.5,0,1
-2.0,67,1.3862943611198906,80.0,3,990.02,1,3,5.0,2,3
27.0,63,1.9459101490553132,80.0,3,1005.8,0,3,3.5,0,2
20.0,85,3.5263605246161616,86.0,1,997.36,0,1,2.5,0,2
22.0,38,2.3978952727983707,0.0,0,1027.37,9,3,9.0,1,0
31.0,75,2.6390573296152584,61.0,3,1017.43,3,1,4.0,1,2
33.0,27,2.2512917986064953,11.0,0,1026.22,6,3,9.5,2,0
2.0,98,2.0149030205422647,89.0,3,995.47,1,3,1.5,2,3
27.0,51,2.302585092994046,4.0,0,1010.29,8,3,7.0,2,0
18.0,53,2.5649493574615367,49.0,1,1008.45,4,3,9.0,1,1
27.0,72,2.740840023925201,17.0,1,1008.71,2,1,8.0,1,1
-1.0,96,2.803360380906535,94.0,3,989.32,1,3,2.5,1,3
21.0,72,2.1400661634962708,42.0,3,1005.63,1,1,7.5,1,1
35.0,97,2.970414465569701,96.0,1,1014.0,9,2,9.5,0,1
44.0,61,0.6931471805599453,13.0,0,1027.37,6,0,9.0,1,0
29.0,109,3.091042453358316,93.0,1,1018.98,9,3,7.5,1,1
40.0,46,1.252762968495368,3.0,0,1020.05,6,1,5.5,2,0
23.0,30,2.3513752571634776,4.0,0,1014.54,10,3,8.5,1,0
-3.0,68,0.6931471805599453,50.0,3,993.39,1,3,4.0,1,3
24.0,78,2.1972245773362196,29.0,3,1007.48,2,3,5.0,1,1
0.0,60,2.70805020110221,98.0,3,988.07,1,3,1.5,2,3
21.0,76,1.3862943611198906,101.0,3,1010.35,1,2,10.0,2,1
29.0,74,1.252762968495368,29.0,3,1002.41,4,0,7.0,1,1
26.0,61,3.0204248861443626,78.0,1,1001.66,3,3,4.5,1,2
27.0,65,2.0149030205422647,84.0,1,1010.16,1,0,2.0,2,2
-9.0,98,2.803360380906535,95.0,3,988.17,1,3,5.0,1,3
-6.0,71,2.2512917986064953,96.0,3,985.8,0,3,2.5,1,3
27.0,46,2.0149030205422647,8.0,1,1012.02,8,3,7.5,0,0
22.0,54,2.0149030205422647,2.0,1,1022.38,9,2,5.5,0,0
20.0,85,2.2512917986064953,81.0,3,1014.67,3,3,1.0,0,2
42.0,66,2.0794415416798357,19.0,1,1018.47,9,3,5.5,0,0
0.0,79,2.302585092994046,92.0,3,996.34,2,3,4.5,1,3
43.0,20,2.302585092994046,2.0,0,1016.94,6,0,5.5,1,0
-2.0,83,2.302585092994046,63.0,3,983.32,1,3,2.5,1,3
34.0,75,1.9459101490553132,16.0,1,1001.93,4,0,7.5,2,1
26.0,34,0.6931471805599453,10.0,1,1010.31,5,3,8.0,0,0
17.0,66,2.803360380906535,95.0,3,1014.99,2,2,2.5,0,2
28.0,82,2.6026896854443837,89.0,3,1013.37,0,3,1.5,2,2
-7.0,63,2.917770732084279,67.0,3,980.41,1,3,2.0,1,3
36.0,36,2.0794415416798357,72.0,3,986.32,8,2,5.5,1,0
4.0,91,1.9459101490553132,99.0,3,989.59,0,3,4.5,2,3
-9.0,91,1.6094379124341003,56.0,3,998.74,1,3,2.5,1,3
31.0,51,2.0149030205422647,17.0,0,1010.32,11,2,10.0,0,0
-7.0,68,2.0149030205422647,72.0,1,987.59,0,3,5.0,2,3
16.0,74,2.4423470353692043,25.0,3,1010.3,4,0,6.5,1,1
20.0,23,2.3513752571634776,58.0,1,997.17,0,3,3.0,0,3
36.0,22,0.6931471805599453,12.0,0,1023.33,8,2,8.0,1,0
26.0,58,0.6931471805599453,19.0,1,1013.17,9,0,6.0,0,0
-9.0,96,1.0986122886681098,56.0,3,998.94,1,3,2.5,2,3
42.0,44,1.791759469228055,17.0,0,1015.53,6,2,8.0,0,0
16.0,82,2.8903717578961645,97.0,3,990.75,2,1,3.5,1,2
24.0,98,2.5257286443082556,63.0,1,1017.39,2,2,1.5,1,2
5.0,106,3.044522437723423,82.0,3,981.79,8,3,0.5,1,3
25.0,23,1.7047480922384253,13.0,0,1014.45,11,1,6.5,1,0
11.0,65,2.1400661634962708,73.0,3,1002.92,2,3,3.5,1,2
43.0,45,1.5040773967762742,15.0,0,1025.24,6,0,8.5,2,0
23.0,35,1.3862943611198906,9.0,0,1029.35,7,3,7.5,2,0
26.0,68,1.791759469228055,44.0,3,1005.29,3,2,7.5,0,1
24.0,44,2.1972245773362196,1.0,0,1021.87,6,0,9.5,0,0
-6.0,76,0.6931471805599453,98.0,3,991.76,1,3,4.0,2,3
28.0,20,1.8718021769015913,6.0,0,1012.95,5,1,8.5,1,0
66.0,107,2.6390573296152584,109.0,1,1014.55,6,1,7.0,2,1
37.0,51,2.3513752571634776,5.0,0,1025.58,5,2,8.5,2,0
32.0,22,2.1400661634962708,16.0,1,1013.16,10,3,8.0,0,0
-7.0,61,1.252762968495368,79.0,3,990.5,0,3,3.5,1,3
4.0,72,2.803360380906535,85.0,1,987.58,0,3,1.5,1,3
33.0,98,2.3978952727983707,65.0,1,1019.95,3,2,3.0,2,2
4.0,99,2.1972245773362196,72.0,3,994.81,0,3,3.0,2,3
31.0,37,2.3513752571634776,7.0,0,1029.3,8,3,8.0,0,0
0.0,85,2.1400661634962708,97.0,3,991.21,0,3,1.5,1,3
24.0,69,0.9162907318741551,40.0,3,1016.15,2,3,8.5,2,1
42.0,55,2.1972245773362196,12.0,0,1019.58,6,0,8.5,2,0
21.0,89,2.6390573296152584,85.0,1,1006.31,2,0,4.0,1,2
22.0,63,2.6026896854443837,53.0,3,999.26,2,0,4.5,2,2
31.0,62,2.3513752571634776,34.0,1,1013.78,2,3,5.0,0,1
14.0,79,1.791759469228055,69.0,3,1013.9,1,1,3.0,0,2
27.0,104,3.1135153092103742,100.0,3,994.34,6,2,3.5,1,2
2.0,72,2.6026896854443837,90.0,3,998.38,1,3,2.5,2,3
22.0,77,2.6390573296152584,36.0,1,1019.44,2,3,5.0,1,1
-7.0,63,2.995732273553991,70.0,3,999.25,0,3,4.5,1,3
42.0,58,1.9459101490553132,3.0,0,1024.36,9,3,8.0,1,0
12.0,50,1.5040773967762742,25.0,3,1016.78,1,1,6.0,1,1
11.0,96,1.9459101490553132,69.0,3,990.04,3,0,1.0,1,2
0.0,63,2.9444389791664403,54.0,3,986.52,0,3,4.0,1,3
22.0,57,1.5040773967762742,17.0,0,1012.94,11,1,9.0,1,0
18.0,64,2.5649493574615367,19.0,1,1005.91,3,1,5.5,2,1
28.0,59,2.6390573296152584,25.0,1,1010.5,3,1,8.0,0,1
10.0,76,2.4849066497880004,12.0,3,1003.75,2,1,7.5,1,1
11.0,50,2.4423470353692043,43.0,1,1001.03,3,0,8.0,0,1
-2.0,79,2.1400661634962708,75.0,3,988.72,0,3,3.5,2,3
24.0,28,1.6094379124341003,3.0,0,1026.76,9,3,6.0,1,0
30.0,57,1.8718021769015913,26.0,3,1001.03,3,0,8.5,1,1
18.0,68,1.3862943611198906,36.0,1,1005.69,1,3,5.5,0,1
10.0,65,2.0794415416798357,21.0,3,1012.63,1,1,8.0,1,1
3.0,85,2.740840023925201,87.0,3,980.37,1,3,1.0,1,3
2.0,62,2.302585092994046,71.0,3,998.28,0,3,1.0,1,3
10.0,76,2.9444389791664403,86.0,3,1008.39,0,3,5.0,2,2
14.0,60,1.7047480922384253,23.0,3,1019.56,1,1,6.5,0,1
18.0,64,2.803360380906535,96.0,3,997.09,1,3,4.5,1,2
4.0,88,2.3978952727983707,86.0,3,998.67,0,3,1.5,2,3
36.0,30,1.0986122886681098,17.0,0,1029.9,11,2,5.5,1,0
-6.0,99,3.7376696182833684,102.0,3,999.49,12,3,0.5,1,3
31.0,59,2.4849066497880004,44.0,1,1002.75,4,1,8.0,2,1
10.0,60,1.252762968495368,20.0,3,1000.1,1,3,8.5,0,1
18.0,77,2.6741486494265287,25.0,1,1006.22,4,2,5.5,2,1
24.0,69,2.1972245773362196,52.0,3,1011.15,0,1,1.5,1,2
1.0,92,2.4849066497880004,80.0,1,999.17,0,3,4.0,2,3
10.0,55,2.6390573296152584,21.0,1,1017.82,2,1,8.5,2,1
26.0,39,2.3513752571634776,6.0,0,1028.53,7,0,9.0,0,0
32.0,39,2.1400661634962708,3.0,0,1021.43,9,2,5.5,1,0
11.0,67,2.772588722239781,88.0,3,1000.85,2,2,1.5,1,2
-10.0,89,1.5040773967762742,92.0,3,980.34,0,3,2.5,1,3
24.0,67,2.6026896854443837,58.0,3,1013.67,0,3,4.0,2,2
0.0,69,1.9459101490553132,98.0,3,997.78,0,3,4.5,1,3
37.0,29,1.9459101490553132,17.0,0,1028.59,5,2,9.5,0,0
14.0,76,1.6094379124341003,47.0,3,1017.23,1,1,7.5,2,1
36.0,29,2.1400661634962708,8.0,1,1025.76,9,1,8.0,1,0
35.0,63,1.9459101490553132,10.0,0,1015.73,5,0,8.0,1,0
21.0,94,2.917770732084279,81.0,3,1011.44,2,1,3.5,1,2
41.0,31,0.9162907318741551,7.0,0,1028.34,5,1,6.0,2,0
22.0,48,1.0986122886681098,18.0,0,1015.1,7,0,9.0,0,0
21.0,62,1.252762968495368,5.0,1,1021.28,10,0,9.5,2,0
19.0,57,2.6390573296152584,17.0,1,1014.16,3,2,8.0,2,1
32.0,61,2.8622008809294686,72.0,3,1008.85,1,0,2.0,1,2
-10.0,69,2.5649493574615367,86.0,3,985.56,1,3,1.0,1,3
27.0,53,2.6390573296152584,29.0,1,1018.62,4,2,6.5,1,1
41.0,45,0.9162907318741551,14.0,1,1016.79,8,0,9.0,2,0
1.0,76,3.044522437723423,91.0,3,984.85,0,3,1.5,2,3
25.0,94,2.6741486494265287,99.0,3,1005.95,10,0,1.5,2,1
-1.0,43,2.3513752571634776,70.0,3,964.74,4,2,8.0,0,3
15.0,58,1.9459101490553132,11.0,1,1012.18,1,0,7.5,1,1
4.0,63,1.0986122886681098,74.0,3,995.02,1,3,1.0,1,3
29.0,37,1.6094379124341003,6.0,1,1015.28,10,0,7.0,0,0
-10.0,85,2.995732273553991,71.0,3,989.02,0,3,2.5,2,3
15.0,79,2.833213344056216,72.0,1,997.07,3,3,4.0,2,2
-5.0,60,1.0986122886681098,94.0,3,993.24,1,3,3.0,1,3
30.0,76,2.1972245773362196,44.0,1,1019.75,4,2,5.5,0,1
-2.0,91,2.740840023925201,69.0,3,998.51,1,3,3.0,2,3
33.0,85,2.302585092994046,54.0,3,1007.49,1,3,1.5,1,2
-6.0,97,2.0794415416798357,52.0,3,985.41,0,3,3.0,2,3
-4.0,67,1.8718021769015913,62.0,3,987.01,1,3,4.5,2,3
30.0,72,2.0149030205422647,94.0,3,999.3,0,1,5.0,2,2
30.0,68,2.8903717578961645,74.0,3,1017.1,2,2,3.5,2,2
60.0,109,2.3978952727983707,105.0,1,1017.33,10,2,6.5,2,0
28.0,62,2.0149030205422647,69.0,3,994.82,1,3,3.0,2,2
-1.0,72,2.6390573296152584,74.0,3,986.98,1,3,1.0,2,3
27.0,57,2.302585092994046,8.0,0,1012.13,11,1,6.0,2,0
27.0,56,2.4849066497880004,16.0,1,1014.73,4,3,6.5,0,1
25.0,84,2.803360380906535,91.0,0,1018.5,6,1,8.0,1,0
67.0,95,3.7495040759303713,79.0,1,1002.83,9,1,3.0,1,2
2.0,65,2.995732273553991,63.0,1,990.69,1,3,4.5,2,3
-9.0,79,1.5040773967762742,92.0,3,990.14,1,3,1.5,1,3
22.0,74,1.8718021769015913,25.0,1,1019.5,2,0,7.0,0,1
18.0,68,2.995732273553991,85.0,3,992.68,1,2,1.5,2,2
21.0,30,1.6094379124341003,8.0,0,1021.37,5,2,9.0,1,0
28.0,99,2.4849066497880004,82.0,1,1008.11,3,2,4.5,0,2
13.0,71,1.9459101490553132,54.0,3,1011.35,3,3,1.5,0,2
24.0,50,2.3513752571634776,10.0,1,1010.49,7,0,7.0,0,0
44.0,45,1.5040773967762742,14.0,1,1024.65,7,0,8.0,2,0
25.0,75,2.4849066497880004,67.0,3,1032.76,13,1,3.5,0,3
18.0,94,2.970414465569701,67.0,3,1019.23,3,0,2.5,0,2
14.0,73,2.2512917986064953,64.0,3,1001.87,3,1,2.5,1,2
25.0,30,0.9162907318741551,18.0,0,1013.47,10,2,7.5,1,0
16.0,71,2.772588722239781,43.0,1,1007.61,2,0,5.5,0,1
26.0,97,2.9444389791664403,61.0,1,1019.45,3,3,1.5,2,2
19.0,98,2.6390573296152584,82.0,3,1018.0,3,2,3.5,2,2
-10.0,76,1.7047480922384253,99.0,3,982.04,1,3,2.0,2,3
4.0,70,1.8718021769015913,56.0,3,982.94,1,3,4.0,2,3
-8.0,86,3.0204248861443626,97.0,3,980.75,1,3,1.0,1,3
-3.0,83,2.833213344056216,90.0,3,991.07,0,3,3.0,1,3
27.0,61,1.252762968495368,51.0,2,1045.38,4,1,7.0,1,1
15.0,79,2.1400661634962708,39.0,3,1018.48,1,3,9.0,0,1
38.0,47,1.3862943611198906,18.0,1,1015.46,5,2,6.5,2,0
21.0,92,2.1400661634962708,69.0,3,996.42,2,1,2.0,0,2
-7.0,94,1.3862943611198906,98.0,3,994.79,0,3,4.5,2,3
21.0,84,1.252762968495368,87.0,0,1025.02,4,2,4.0,0,0
21.0,93,2.6741486494265287,87.0,3,1016.31,1,3,1.5,0,2
21.0,76,2.5257286443082556,30.0,1,1003.34,3,3,6.0,1,1
0.0,68,2.833213344056216,91.0,3,998.36,1,3,2.0,2,3
36.0,26,2.302585092994046,5.0,0,1016.29,6,3,6.0,0,0
64.0,109,3.597312260588446,95.0,1,1003.19,12,2,4.5,2,1
24.0,69,1.6094379124341003,12.0,0,1027.77,10,0,9.5,0,0
34.0,95,2.803360380906535,90.0,0,1016.63,11,0,11.5,0,0
33.0,49,2.302585092994046,5.0,0,1022.71,9,1,9.0,0,0
-3.0,90,2.8622008809294686,55.0,3,988.24,1,3,1.5,1,3
13.0,56,1.5040773967762742,15.0,1,1002.48,2,1,7.0,1,1
41.0,101,2.995732273553991,78.0,0,1023.28,9,3,3.5,0,0
27.0,85,2.3978952727983707,68.0,3,1015.94,0,1,3.5,2,2
-10.0,79,2.970414465569701,96.0,1,986.35,0,3,1.5,2,3
10.0,97,1.9459101490553132,94.0,3,1002.36,0,2,4.5,2,2
21.0,33,1.3862943611198906,3.0,0,1021.58,7,2,6.5,0,0
20.0,69,2.8903717578961645,87.0,3,1007.12,3,3,2.5,2,2
27.0,58,2.740840023925201,13.0,1,1016.87,4,1,7.5,2,1
28.0,71,2.302585092994046,66.0,1,1007.58,1,0,2.0,1,2
20.0,89,2.9444389791664403,68.0,3,1019.78,2,2,4.5,0,2
33.0,72,2.4849066497880004,18.0,3,1010.18,1,1,8.5,0,1
28.0,79,2.6390573296152584,50.0,3,1015.66,0,1,4.0,1,2
-8.0,92,2.5257286443082556,54.0,3,994.5,1,3,3.0,1,3
39.0,66,1.791759469228055,11.0,0,1024.35,5,0,9.0,2,0
19.0,72,2.0794415416798357,57.0,3,1001.28,0,0,3.5,2,2
-2.0,65,2.1972245773362196,51.0,1,982.0,1,3,4.5,1,3
22.0,86,1.8718021769015913,94.0,3,999.78,3,2,1.0,2,2
31.0,67,2.6741486494265287,54.0,3,1014.14,0,2,2.5,1,2
15.0,61,2.0794415416798357,40.0,1,1003.17,2,3,7.0,2,1
-9.0,46,2.0149030205422647,35.0,1,978.59,7,2,0.5,1,1
28.0,60,1.8718021769015913,28.0,3,1000.63,1,1,9.0,2,1
13.0,93,2.9444389791664403,94.0,3,995.06,1,3,2.5,0,2
15.0,76,1.791759469228055,73.0,1,1012.14,8,3,12.0,0,1
23.0,75,2.8622008809294686,86.0,3,1017.64,2,3,1.5,1,2
30.0,66,2.9444389791664403,87.0,3,1015.52,0,3,4.5,2,2
0.0,98,2.0794415416798357,66.0,3,986.05,0,3,3.5,1,3
17.0,62,2.302585092994046,11.0,3,1016.34,2,1,7.5,2,1
15.0,99,3.449987545831587,85.0,1,1015.02,3,2,2.0,1,1
20.0,67,0.9162907318741551,42.0,3,1007.52,4,2,7.0,1,1
23.0,77,2.1400661634962708,49.0,1,1010.4,2,3,8.5,0,1
11.0,53,1.8718021769015913,13.0,3,1016.57,3,2,6.5,1,1
-7.0,67,2.9444389791664403,50.0,3,999.37,1,3,1.5,2,3
34.0,60,2.5257286443082556,42.0,3,1001.32,1,3,6.5,0,1
-5.0,89,1.791759469228055,64.0,3,994.57,0,3,5.0,2,3
14.0,75,1.6094379124341003,10.0,1,1000.16,4,2,6.0,2,1
42.0,55,1.8718021769015913,15.0,0,1027.66,6,1,7.5,0,0
32.0,21,1.252762968495368,8.0,1,1029.34,7,3,9.0,2,0
35.0,65,2.3513752571634776,12.0,1,1018.19,7,2,5.5,0,0
18.0,64,3.0204248861443626,98.0,1,1003.54,1,1,3.5,1,2
-10.0,85,2.1972245773362196,69.0,3,985.76,1,3,1.5,2,3
-9.0,71,2.302585092994046,50.0,1,994.09,1,3,2.5,1,3
32.0,60,2.4849066497880004,49.0,1,1007.94,1,2,6.5,2,1
27.0,69,1.7047480922384253,4.0,0,1011.56,7,2,9.5,0,0
30.0,107,3.068052935133617,84.0,1,1006.47,5,2,10.0,1,1
-10.0,67,0.6931471805599453,59.0,1,983.52,0,3,5.0,2,3
-4.0,78,2.302585092994046,58.0,3,991.09,1,3,2.0,1,3
32.0,31,1.5040773967762742,9.0,1,1026.58,8,2,9.0,0,0
23.0,90,2.6741486494265287,53.0,3,992.4,3,0,3.0,1,2
20.0,94,2.6741486494265287,105.0,0,1025.18,4,2,7.5,2,0
18.0,51,2.0794415416798357,38.0,3,1005.6,3,0,8.5,2,1
11.0,67,2.2512917986064953,59.0,3,1004.46,2,1,4.5,0,2
1.0,60,1.252762968495368,61.0,1,995.83,1,3,2.5,2,3
4.0,74,2.2512917986064953,91.0,3,994.86,1,3,2.5,1,3
22.0,79,1.5040773967762742,37.0,3,1008.08,3,1,7.0,1,1
